Unique ID,Geo Type Name
166866,CD
603098,CD
412678,CD
741290,CD
166908,CD
167793,CD
550136,CD
550010,CD
606046,CD
650044,CD
823553,CD
649954,CD
823180,CD
411033,CD
411032,CD
169388,CD
169447,CD
411116,CD
411117,CD
411122,CD
411123,CD
169405,CD
169346,CD
742489,CD
168402,CD
213762,CD
213764,CD
605926,CD
823192,CD
823499,CD
605920,CD
334209,CD
825818,CD
603085,CD
643699,CD
213257,CD
825824,CD
603037,CD
643651,CD
165771,CD
741222,CD
549847,UHF42
549849,UHF42
165889,CD
166656,CD
550088,CD
412754,CD
741220,CD
412682,CD
170434,CD
169313,CD
412689,CD
216483,CD
216484,CD
412081,CD
216580,CD
216579,CD
216327,CD
216328,CD
216339,CD
168650,CD
649955,CD
669965,CD
334250,CD
168680,CD
170273,CD
650051,CD
334334,CD
650045,CD
334340,CD
669869,CD
170231,CD
410997,CD
169429,CD
169370,CD
742459,CD
213981,CD
334333,CD
650046,CD
334243,CD
828090,UHF42
412724,CD
412725,CD
166715,CD
166774,CD
412760,CD
741221,CD
826320,CD
825826,CD
166892,CD
216485,CD
216581,CD
216582,CD
216330,CD
216342,CD
743627,CD
336747,CD
741192,CD
169310,CD
334194,CD
605731,UHF42
605692,UHF42
649690,UHF42
167599,CD
667706,CD
213429,CD
667693,CD
167538,CD
167656,CD
643560,CD
167514,CD
213405,CD
667549,CD
167658,CD
167540,CD
336730,CD
667537,CD
667813,CD
667801,CD
167774,CD
167750,CD
550007,CD
166655,CD
336732,CD
165888,CD
741219,CD
336550,UHF42
667106,UHF42
176570,UHF42
176552,UHF42
175418,UHF42
667687,CD
643343,UHF42
222450,UHF42
412002,UHF42
222408,UHF42
547393,UHF42
334011,UHF42
742221,UHF42
169495,CD
169554,CD
170192,CD
213959,CD
816757,CD
816758,CD
816805,CD
816806,CD
816884,UHF42
410739,UHF42
334267,CD
170286,CD
170369,CD
823486,CD
176654,UHF42
825772,UHF42
667195,UHF42
336547,UHF42
336493,UHF42
741198,CD
550160,CD
603059,CD
741251,CD
412695,CD
412788,CD
412694,CD
166696,CD
166755,CD
166708,CD
212327,UHF42
602812,UHF42
643426,UHF42
825750,UHF42
741196,CD
412658,CD
213590,CD
602973,CD
643396,UHF42
179270,Borough
643309,Borough
643354,UHF42
212302,UHF42
825759,UHF42
131399,UHF42
131400,UHF42
518973,UHF42
131224,UHF42
131234,UHF42
827390,UHF42
827391,UHF42
179646,Borough
649659,Borough
823565,CD
742555,CD
650002,CD
823511,CD
334293,CD
826334,CD
179361,Borough
743728,Borough
179426,Borough
336485,Borough
628435,Borough
131457,Borough
179591,Borough
179586,Borough
823332,Borough
742509,CD
216495,CD
216496,CD
131409,Borough
827429,Borough
650057,CD
334346,CD
828059,Borough
826332,CD
216498,CD
336883,CD
643713,CD
211378,Borough
667735,CD
336884,CD
643712,CD
643664,CD
643658,CD
741144,CD
166654,CD
165887,CD
167775,CD
550082,CD
166797,CD
166748,CD
166689,CD
166738,CD
643348,UHF42
825786,UHF42
