Series_Title,Runtime
Watership Down,91 min
Midnight Express,121 min
Close Encounters of the Third Kind,138 min
The Long Goodbye,112 min
Giù la testa,157 min
Kelly's Heroes,144 min
The Jungle Book,78 min
Blowup,111 min
A Hard Day's Night,87 min
Breakfast at Tiffany's,115 min
Giant,201 min
From Here to Eternity,118 min
Lifeboat,97 min
The 39 Steps,86 min
